,dhlabid,urn,title,authors,oaiid,sesamid,isbn10,city,timestamp,year,publisher,langs,subjects,ddc,genres,literaryform,doctype,ocr_creator,ocr_timestamp,first_name,gender
6871,100496677,URN:NBN:no-nb_digibok_2015120306020,Gunnar Staalesen : forfatterhefte,"Engelstad , Audun",oai:nb.bibsys.no:990701686364702202,d1d53623e30966328e3be5d34b00cbd1,,[Oslo],20060101,2006,Biblioteksentralen,nob,Norsk litteratur / forfattere / biografier / litteratur / analyser / krim,839.823,biography,Faglitteratur,digibok,nb,20060101,Audun,male
6873,100203877,URN:NBN:no-nb_digibok_2014051306007,Tredje person entall : roman,"Hjorth , Vigdis",oai:nb.bibsys.no:990925819434702202,429f3b602850023ca4f4f13739d756d0,,[Oslo],20090101,2009,Cappelen Damm,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Vigdis,female
6878,100181414,URN:NBN:no-nb_digibok_2013121108158,Kvinnen som kledte seg naken for sin elskede,"Wiese , Jan",oai:nb.bibsys.no:990313003914702202,438839eae5c34bb4f34ae56c1b7321e5,8252551432,[Oslo],20030101,2003,Den norske bokklubben,nob,,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Jan,male
6879,100132389,URN:NBN:no-nb_digibok_2012121308107,Her har du mitt liv : 1984 essays 1984,"Mehren , Stein",oai:nb.bibsys.no:998540819174702202,21f8bf3bdd1ca1d244793bc6f905661a,8203109462,Oslo,19840101,1984,Aschehoug,nob,,839.824,fiction,Skjønnlitteratur,digibok,nb,20060101,Stein,male
6881,100406723,URN:NBN:no-nb_digibok_2020061148633,Samme lengsel,"Thorbjørnsen , Bjørn",oai:nb.bibsys.no:999919907302902202,7c788d5f8f5616243611b6ccdba10874,,Oslo,20170101,2017,Lovisenberg,nob,,839.8218,poetry,Skjønnlitteratur,digibok,nb,20060101,Bjørn,male
6882,100249474,URN:NBN:no-nb_digibok_2015050848163,Endre Lund Eriksen,"Ranheim , Beate",oai:nb.bibsys.no:991001152334702202,95f30921ffaca641e363149f68df0c8e,,[Oslo],20100101,2010,Biblioteksentralen,nob,forfattere,839.823,,Faglitteratur,digibok,nb,20060101,Beate,female
6883,100096744,URN:NBN:no-nb_digibok_2012070606188,Tove Lise på Solvollen,"Gabrielsen , Sussi H.",oai:nb.bibsys.no:998221516934702202,3f0e9090238572d6a4edc7744709036b,8252302998,Trondheim,19820101,1982,Rune,nob,barnebøker / pendling, 839.93,,Faglitteratur,digibok,nb,20060101,Sussi,female
6886,100412944,URN:NBN:no-nb_digibok_2020080707003,Historien om et godt menneske : roman,"Emanuelsen , Birger",oai:nb.bibsys.no:999919837297802202,3117620a904a3ca1e9b24c2cac4f7e23,,Oslo,20160101,2016,Tiden,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Birger,male
6888,100228577,URN:NBN:no-nb_digibok_2014092308134,Beatles,"Christensen , Lars Saabye",oai:nb.bibsys.no:990112941084702202,3f8cef5ae6f2497792a4b42967d91679,,[Oslo],20010101,2001,Cappelen,nob,,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Lars,male
6892,100416411,URN:NBN:no-nb_digibok_2020082607035,Fie faller,"Aasvik , Therese",oai:nb.bibsys.no:999919837179602202,11b1749b63d1a256c880f161e94113d9,,Bergen,20160101,2016,Vigmostad Bjørke,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Therese,female
6894,100415987,URN:NBN:no-nb_digibok_2020081307033,Et hummerliv : roman,"Hansen , Erik Fosnes",oai:nb.bibsys.no:999919853891302202,9ec3e374cd0977aea674841f4f09ed40,,[Oslo],20160101,2016,Cappelen Damm,nob,norsk litteratur,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Erik,male
6895,100386102,URN:NBN:no-nb_digibok_2019021477009,Å huske sitt liv : litterære essayer,"Pollan , Brita",oai:nb.bibsys.no:991518285714702202,b8206f69f769507145a9f96a6372da50,,Oslo,20150101,2015,Emilia,nob,Selvbiografier,809.93592 / 839.824,biography / essay,Faglitteratur,digibok,nb,20060101,Brita,female
6896,100466046,URN:NBN:no-nb_digibok_2007091901026,Ordhittug døl : - med glimt i auga og svar på tunga. 3,"Høgbrenna , Audun",oai:nb.bibsys.no:999115098284702202,967ec80379dcefb87143da6cb95be38e,8275280044,Lesja,19910101,1991,A. Kjelland bøker og bokproduksjon,nob,,839.827008,fiction,Skjønnlitteratur,digibok,nb,20060101,Audun,male
6897,100563724,URN:NBN:no-nb_digibok_2008090301024,Triggerhappy : roman,"Davidsen , Trond",oai:nb.bibsys.no:999901948504702202,5d5aa5aa2c66ddecb1009e1c1d3c330f,8270948470,Oslo,19990101,1999,Oktober,nob,,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Trond,male
6898,100220991,URN:NBN:no-nb_digibok_2014072305034,Naturen og opptuktelsen : nye lyriske stykker,"Simonsen , Helge",oai:nb.bibsys.no:998130967154702202,a4784df94d2ede730b03a937c5b6a381,8203105246,Oslo,19810101,1981,Aschehoug,nob,, 839.93,fiction,Skjønnlitteratur,digibok,nb,20060101,Helge,male
6899,100182298,URN:NBN:no-nb_digibok_2013121108215,Purpur : roman,"Løkkeberg , Vibeke",oai:nb.bibsys.no:990307632584702202,052f284d07d9af8d82b1a4eb31597f75,8249501632,Oslo,20030101,2003,Oktober,nob,,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Vibeke,female
6900,100122315,URN:NBN:no-nb_digibok_2012112205067,Dyret i stenen,"Kiøsterud , Erland",oai:nb.bibsys.no:998901170714702202,2ef139c0031c0cda1dc2fba8869d7e33,8205179867,[Oslo],19890101,1989,Gyldendal,nob,skjønnlitteratur/voksen,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Erland,male
6902,100140223,URN:NBN:no-nb_digibok_2007111904062,Kondorens flukt : roman,"Borge , Per Erik",oai:nb.bibsys.no:999324365524702202,431c592d7e7e6dd6333c663069f2e4d4,8203173667,Oslo,19930101,1993,Aschehoug,nob,"Cocaine / Drug and narcotic control / Literature, modern / Crime / Chile / Peru / Latin America / skjønnlitteratur/voksen",839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Per,male
6903,100611843,URN:NBN:no-nb_digibok_2021092348708,"Vi bare kjører, så ser vi","Osen, Hilde Stålskjær",oai:nb.bibsys.no:999919909085902202,6c6d42baa85886467b6294c8fc672e82,,,2018,2018,Cappelen Damm,nob,Bygder / Bygder / Hverdagsliv / Kvardagsliv / Norsk skjønnlitteratur,839.823,novel / text,Skjønnlitteratur,digibok,nb,20060101,"Osen,",unknown
6904,100183988,URN:NBN:no-nb_digibok_2009051800023,Lammet uten kropp,"Kiøsterud , Erland",oai:nb.bibsys.no:999006382494702202,e75c131bed29f4a55f3eaedb6c95c772,8205188335,[Oslo],19900101,1990,Gyldendal,nob,skjønnlitteratur/voksen / norsk / skjønnlitteratur,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Erland,male
6905,100083730,URN:NBN:no-nb_digibok_2012062506074,Vampyrjegeren,"Bakkeid , Heine T.",oai:nb.bibsys.no:991204143764702202,98d5e7c4f2d33e91958e8b41463930bf,,Oslo,20120101,2012,Aschehoug,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Heine,male
6906,100074118,URN:NBN:no-nb_digibok_2012060706055,Løpet mot tomheten : fortellingen om heroinen og ikke-mennesket,"Cacace , Ciro",oai:nb.bibsys.no:998321317924702202,b2e400e9ccb37c07c40e01e8bc4c6557,8270943150,[Oslo],19820101,1982,Oktober,nob,narkotika / rusmiddelmisbruk, 839.93,fiction,Skjønnlitteratur,digibok,nb,20060101,Ciro,male
6908,100558306,URN:NBN:no-nb_digibok_2008072904015,Fedrenes synder,"Ustad , Willy",oai:nb.bibsys.no:999608690854702202,a027379e54dc84e6452d0efd7b7ef662,8250934903,Oslo,19960101,1996,Bladkompaniet,nob,,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Willy,male
