,dhlabid,urn,title,authors,oaiid,sesamid,isbn10,city,timestamp,year,publisher,langs,subjects,ddc,genres,literaryform,doctype,ocr_creator,ocr_timestamp,first_name,gender
2,100414362,URN:NBN:no-nb_digibok_2020081107148,Dukkeføreren,"Gaarder , Jostein",oai:nb.bibsys.no:999919832661002202,bb2c1e0327d3a359dd7dc95f38de1eda,,Oslo,20160101,2016,Aschehoug,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Jostein,male
3,100392734,URN:NBN:no-nb_digibok_2019052007037,Lengsel,"Hegstad , Inger Harriet",oai:nb.bibsys.no:991020921094702202,bbbee32008b5529a24afa16418ffce71,,[Oslo],20100101,2010,Cappelen Damm,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Inger,female
4,100347458,URN:NBN:no-nb_digibok_2017092648257,Clay Allison : blondinen og seksløperen,,oai:nb.bibsys.no:991510751314702202,ef142ef71e29e6c3b20dc2b32812a563,8272530805,Oslo,19800101,1980,Jaer forl.,nob,, 839.93,fiction,Skjønnlitteratur,digibok,nb,20060101,,unknown
5,100560889,URN:NBN:no-nb_digibok_2009062300020,Risk : hørespill,"Grøndahl , Christopher Friis-Baastad",oai:nb.bibsys.no:990400880304702202,bfc71a5d18d7664c02411e52bd1bf255,8256013931,Oslo,20030101,2003,Solum,nob,hørespill / drama / skuespill / norsk / prosa,839.822,fiction,Skjønnlitteratur,digibok,nb,20060101,Christopher,male
6,100392981,URN:NBN:no-nb_digibok_2019082977022,Ø,"Nærum , Knut",oai:nb.bibsys.no:991013411644702202,b24a15886da0a8e9ebba2a58961ff238,,[Oslo],20100101,2010,Cappelen Damm,nob,,839.828,fiction,Skjønnlitteratur,digibok,nb,20060101,Knut,male
15,100415397,URN:NBN:no-nb_digibok_2020081807231,Beskyldningen,"Midtsund , Aud",oai:nb.bibsys.no:999919863395502202,9b353db3464b0d106568e4590f42e408,,[Oslo],20160101,2016,Bladkompaniet,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Aud,female
17,100160408,URN:NBN:no-nb_digibok_2013072408155,Malteser-triangelen : roman,"Heed , Kristina",oai:nb.bibsys.no:991119580754702202,041ea9cf853ecc76a578d3cdd1d4a677,,Bodø,20110101,2011,Licentia forl.,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Kristina,female
19,100559879,URN:NBN:no-nb_digibok_2009060904021,Savnet på sjøen,"Steinslett , Kjellaug",oai:nb.bibsys.no:999815476724702202,c60626acf415ebb6d048ee65047824b3,8250939549,Oslo,19980101,1998,Bladkompaniet,nob,,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Kjellaug,female
20,100386541,URN:NBN:no-nb_digibok_2018072307115,Fra Hurumlandet til Køgebukt,"Ekeberg , Fred",oai:nb.bibsys.no:991434018074702202,ee3280ce0387d56de80b331390399666,,Bodø,20140101,2014,Licentia forl.,nob,huitfeldt / slekten / slektshistorie / røyken / hurum,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Fred,male
21,100374857,URN:NBN:no-nb_digibok_2018053148123,Slekters gang,"Mysen , Jane",oai:nb.bibsys.no:990936167324702202,4af4ac3a53cb1c854e03d7a43b9d94b5,,[Oslo],20090101,2009,Cappelen Damm,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Jane,female
22,100545816,URN:NBN:no-nb_digibok_2011062206080,Tesman : roman,"Bjørnstad , Ketil",oai:nb.bibsys.no:990314830894702202,a2599b716a98c712b11f19c810d45f3f,8203187048,Oslo,20030101,2003,Aschehoug,nob,Grief / Suicide / Bereavement / norsk / prosa / skjønnlitteratur / romaner / selvmord / etterlatte / sorg / sjølvmord / 2000-tallet,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Ketil,male
23,100587839,URN:NBN:no-nb_digibok_2021110448020,Frihet er et ensomt ord : roman,"Beadle, David",oai:nb.bibsys.no:999920016087102202,0be3c3ec2234ea7665823b58b96d77bc,,,2019,2019,W&R,nob,Revolusjon / Revolusjon / Politiske miljøer / Politiske miljø,839.8238,novel / tekst,Skjønnlitteratur,digibok,nb,20060101,"Beadle,",unknown
24,100140355,URN:NBN:no-nb_digibok_2008061804018,Steinsamlere : roman,"Lindstrøm , Merethe",oai:nb.bibsys.no:999619651424702202,e3983704d0dcd6014f599c61c6e014d9,8203177344,[Oslo],19960101,1996,Aschehoug,nob,skjønnlitteratur/voksen / norske / romaner / 1990-tallet,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Merethe,female
27,100540904,URN:NBN:no-nb_digibok_2011060308095,Alle onde ting er tre,"Ellingsen , Espen",oai:nb.bibsys.no:990707421464702202,b4681f10b36be48d860c9431ed36f9ec,8299737001,Porsgrunn,20060101,2006,Espen Ellingsen,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Espen,male
28,100430527,URN:NBN:no-nb_digibok_2020121607579,Bilder i seil : dikt,"Harr , Karl Erik",oai:nb.bibsys.no:991238870204702202,350987a2cb9ac75927a59117143c1006,,Oslo,20120101,2012,[K.E. Harr],nob,,839.821 / 839.82,poetry,Skjønnlitteratur,digibok,nb,20060101,Karl,male
30,100192041,URN:NBN:no-nb_digibok_2014021906439,Damen i dalen : roman,"Bjørnstad , Ketil",oai:nb.bibsys.no:991005838494702202,2db111b8c08a7fad8f108eb99f2ff9eb,,Oslo,20100101,2010,Aschehoug,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Ketil,male
32,100429827,URN:NBN:no-nb_digibok_2020112407583,Novemberroser : dikt og prologer,"Remøy , Randi",oai:nb.bibsys.no:999919848900602202,8688c24a4db81f0e900b1da40cf39e57,,[Oslo],20150101,2015,Kolofon,nob,,839.821,poetry,Skjønnlitteratur,digibok,nb,20060101,Randi,female
33,100152508,URN:NBN:no-nb_digibok_2013070108187,Tungen og tåren : et dikt,"Wærness , Gunnar",oai:nb.bibsys.no:991307140974702202,993d6c51156033fd19d9c7255e24fa4d,,Oslo,20130101,2013,No Comprendo Press,nob,norsk / litteratur / dikt / lyrikk,839.82 / 839.821,poetry,Skjønnlitteratur,digibok,nb,20060101,Gunnar,male
34,100399373,URN:NBN:no-nb_digibok_2020032648016,Blodig jord,"Masterson , Louis",oai:nb.bibsys.no:991306833704702202,ed21e3e7dd95e11203f5c8577ce0f5d1,,Oslo,20130101,2013,Aller,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Louis,male
35,100475822,URN:NBN:no-nb_digibok_2008111404085,Granitt,"Brekke , Toril",oai:nb.bibsys.no:990117968124702202,dbb79f28f56c42cfc5398c58ac22f8e7,8203185223,Oslo,20010101,2001,Aschehoug,nob,,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Toril,female
38,100560812,URN:NBN:no-nb_digibok_2009060804114,I den blindes speil : (som prosa),"Helseth , Sigurd",oai:nb.bibsys.no:990224450724702202,ec1df03e5debc626c8c41a76e17e4775,8202223237,[Oslo],20020101,2002,Cappelen,nob,noveller / norske / 2000-tallet,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Sigurd,male
39,100606113,URN:NBN:no-nb_digibok_2021093048509,Rigels øyne,"Jacobsen, Roy",oai:nb.bibsys.no:999919890191202202,d55d9f4c052f2f39f38c61eb59a66ec3,,,2017,2017,Cappelen Damm,nob,Familie / Familie / norske romaner / 2010-tallet / etterkrigstiden / norsk litteratur,839.823,novel / text,Skjønnlitteratur,digibok,nb,20060101,"Jacobsen,",unknown
40,100020391,URN:NBN:no-nb_digibok_2010102008008,Nødsvinter,"Angell-Jacobsen , Rune",oai:nb.bibsys.no:999504010564702202,d37119ff4eb6d4d7134b76bdd0d909db,8250932374,Oslo,19950101,1995,Bladkompaniet,nob,,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Rune,male
41,100531556,URN:NBN:no-nb_digibok_2011030822003,Gymnaslærer Pedersens beretning om den store politiske vekkelsen som har hjemsøkt vårt land,"Solstad , Dag",oai:nb.bibsys.no:999104628284702202,38f0300517df812a629644d9b9e13a7f,8203150225,Oslo,19850101,1985,Aschehoug,nob,larvik / roman / skjønnlitteratur,839.82,novel,Skjønnlitteratur,digibok,nb,20060101,Dag,male
42,100111174,URN:NBN:no-nb_digibok_2012092408042,Malstrømmen,"Granhus , Frode",oai:nb.bibsys.no:991147571194702202,a22b3b2a451b73ece98b449f7b968dbc,,[Oslo],20110101,2011,Schibsted,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Frode,male
43,100433866,URN:NBN:no-nb_digibok_2021012207613,Lofotveggen,"Aasvik , Stig",oai:nb.bibsys.no:999919866404202202,07f60467f2b6a9dfde77d2b644087157,,[Oslo],20170101,2017,Cappelen Damm,nob,norsk skjønnlitteratur / oppvekster / bevissthetsstrømmer / romaner,839.823,biography / novel,Skjønnlitteratur,digibok,nb,20060101,Stig,male
44,100176197,URN:NBN:no-nb_digibok_2013110508200,Henrik Ibsen - den visjonære tenker,"Hoem , Gunhild",oai:nb.bibsys.no:990620095244702202,20f39df98f1e64a6537aeb38b9b9c418,8256015403,Oslo,20060101,2006,Solum,nob,Norsk litteratur / norsk / litteratur / filosofi,839.828 / 839.822,biography,Faglitteratur,digibok,nb,20060101,Gunhild,female
46,100574163,URN:NBN:no-nb_digibok_2010033020021,I lyset fra tyriilden,"Walle , Bjarne",oai:nb.bibsys.no:999524472824702202,68c5f459c244c0fa6a70a6de14f60576,8290815093,Valle,19950101,1995,Moria,nob,,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Bjarne,male
49,100419183,URN:NBN:no-nb_digibok_2020090107521,Bergen ungdomsteater,"Carmona-Alvarez , Pedro",oai:nb.bibsys.no:999919857189302202,77c287fd74438ac31205b8b806e5d7ae,,Oslo,20160101,2016,Kolon,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Pedro,male
50,100577592,URN:NBN:no-nb_digibok_2008061900080,-men den som reiser,"Riis , Annie",oai:nb.bibsys.no:999601815204702202,5b6096519356125029e7096fab864d8f,8203176232,Oslo,19960101,1996,Aschehoug,nob,norske / dikt,839.821,fiction,Skjønnlitteratur,digibok,nb,20060101,Annie,female
51,100518914,URN:NBN:no-nb_digibok_2009022500064,Alt er så nær meg : om Inger Hagerup,"Hagerup , Klaus",oai:nb.bibsys.no:999624813604702202,453a553d7dad52acc98e3acb99adccac,8203177905,Oslo,19970101,1997,Aschehoug,nob,Norsk litteratur / Lyrikk / norsk / litteratur,839.821,biography,Faglitteratur,digibok,nb,20060101,Klaus,male
52,100097830,URN:NBN:no-nb_digibok_2008080100064,Latours katalog : roman,"Frobenius , Nikolaj",oai:nb.bibsys.no:999605299694702202,e055efccb15add7b2c681e285f0a517e,8205232768 / 8202149967,Oslo,19960101,1996,Gyldendal,nob,skjønnlitteratur/voksen,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Nikolaj,male
53,100419103,URN:NBN:no-nb_digibok_2020051188003,Kuppet : roman,"Kristiansen , Morten M.",oai:nb.bibsys.no:999919877199302202,dcfcb17fc6e271adf70ddc4c13061c3f,,,20170101,2017,Svein Sandnes bokforl.,nob,Reiser / Reiser,839.823,novel / text,Skjønnlitteratur,digibok,nb,20060101,Morten,male
55,100386538,URN:NBN:no-nb_digibok_2018072307111,Skjellig grunn til mistanke,"Tvedt , Chris",oai:nb.bibsys.no:991427425034702202,508c0f4fb8d524942f63c67e43ab8cda,,[Oslo],20140101,2014,Cappelen Damm,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Chris,mostly_male
56,100129535,URN:NBN:no-nb_digibok_2007091701010,Skjøgens bok : roman,"Haff , Bergljot Hobæk",oai:nb.bibsys.no:999207230804702202,d6e5a3d9b3b19143231b28caa58dd278,8205203229,Oslo,19920101,1992,Gyldendal,nob,,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Bergljot,female
58,100519206,URN:NBN:no-nb_digibok_2007081000006,Rop av stumme røster,"Sandemo , Margit",oai:nb.bibsys.no:999009860004702202,03f84a588d85fff5ca0befa0270e2c76,8250920384,Oslo,19880101,1988,Bladkompaniet,nob,,839.73,fiction,Skjønnlitteratur,digibok,nb,20060101,Margit,female
59,100308811,URN:NBN:no-nb_digibok_2016090848025,Jernvognen : kriminalroman,"Riverton , Stein",oai:nb.bibsys.no:990505756004702202,9fe8c2c742381f7c14f99f17b6553c0f,8241903138,Bergen,20050101,2005,Vigmostad & Bjørke,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Stein,male
61,100470213,URN:NBN:no-nb_digibok_2010043003050,Der veiene møtes : roman,"Pedersen , Einar",oai:nb.bibsys.no:999825082204702202,9ec0d27af30c23b3399285711e13474e,8291352275,[Nybergsund],19980101,1998,Trysil-forl.,nob,,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Einar,male
62,100428497,URN:NBN:no-nb_digibok_2020112748639,Barmhjertighet : roman,"Nærum , Knut",oai:nb.bibsys.no:999919892646602202,b75140481fe74543839233d304fee53b,,Oslo,20170101,2017,Cappelen Damm,nob,Drap / Drap / Kreft / Kreft,839.823,novel / text,Skjønnlitteratur,digibok,nb,20060101,Knut,male
63,100392122,URN:NBN:no-nb_digibok_2019082848011,Reise gjennom ukjent land : roman,"Macé , Nicole",oai:nb.bibsys.no:999818917304702202,55d4b04a908499d28d21ddcdc3402d5a,8203179940,Oslo,19980101,1998,Aschehoug,nob,,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Nicole,female
64,100162858,URN:NBN:no-nb_digibok_2013073008076,Profetiens utvalgte,"Eliassen , Ruben",oai:nb.bibsys.no:991148108004702202,b5bdb7c93d1b14b59c9fa2ac7bbab12e,,[Oslo],20110101,2011,Gyldendal,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Ruben,male
65,100136243,URN:NBN:no-nb_digibok_2013010908089,Lys og løgn : dikt,"Isachsen , Knut",oai:nb.bibsys.no:990925886894702202,937b0587675611cdc70dab3eaa0830a6,,Oslo,20090101,2009,Kolon,nob,lyrikk / dikt / poesi,839.821,poetry,Skjønnlitteratur,digibok,nb,20060101,Knut,male
68,100588151,URN:NBN:no-nb_digibok_2021110948591,Sjelemakeren,"Steinarsdottir, Anniken",oai:nb.bibsys.no:999920006898402202,0c230464b019aeb9b1e44f1c75f54cae,,[Krokelvdalen],2019,2019,Heim forlag,nob,,839.8238,novel / tekst,Skjønnlitteratur,digibok,nb,20060101,"Steinarsdottir,",unknown
69,100175787,URN:NBN:no-nb_digibok_2013102406060,Naken i hijab : roman,"Nisja , Gunn Marit",oai:nb.bibsys.no:991127793284702202,754471c612370da5c34501261beea0f6,,,20110101,2011,Juritzen,nob,Integration / Cross-cultural communication / Ethnic identity / Religious practice / Clothing / Muslims / roman / skjønnlitteratur / kvinneundertrykkelse / egypt / romanernorske / 2010-tallet / hijab,839.8238 / 839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Gunn,female
81,100383041,URN:NBN:no-nb_digibok_2018110677033,Fleur : roman,"Tusvik , Marit",oai:nb.bibsys.no:991422032544702202,5cded33fd40280c4797ba6e76d21a1b8,,[Oslo],20140101,2014,Oktober,nob,litteratur / norsk / roman / 2010-tallet,839.82 / 839.8238 / 839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Marit,female
83,100079501,URN:NBN:no-nb_digibok_2012061306095,Flik av en ny himmel,"Stensrud , Eva J.",oai:nb.bibsys.no:991141518064702202,a76f1f5daf8e45292e70b703a3e80a8f,,[Oslo],20110101,2011,Cappelen Damm,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Eva,female
84,100134432,URN:NBN:no-nb_digibok_2013010708048,Ulvenatten,"Egeland , Tom",oai:nb.bibsys.no:990608145944702202,bacbb525ad3f3aebc8e7dd0bade0de60,8203190871,Oslo,20060101,2006,Aschehoug,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Tom,male
85,100111173,URN:NBN:no-nb_digibok_2012092408041,De døde har det godt : åtte fortellinger om Varg Veum,"Staalesen , Gunnar",oai:nb.bibsys.no:991200290734702202,f864a5c55485d9aceb3a8234ba2713d1,,[Oslo],20120101,2012,Gyldendal,nob,,839.823,short story,Skjønnlitteratur,digibok,nb,20060101,Gunnar,male
87,100499813,URN:NBN:no-nb_digibok_2007082300071,Sønnen : roman,"Larsen , Terje Holtet",oai:nb.bibsys.no:999111775904702202,bcd36854ce965762318ebd8b23d23304,8202134536,[Oslo],19910101,1991,Cappelen,nob,skjønnlitteratur/voksen,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Terje,male
91,100392954,URN:NBN:no-nb_digibok_2019072307194,En god sak : kriminalroman,"Mehlum , Jan",oai:nb.bibsys.no:991308400254702202,62ded65381d8abaf0a7eda2148f96a29,,[Horten],20130101,2013,Publicom forl.,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Jan,male
92,100202108,URN:NBN:no-nb_digibok_2014042906154,Dragen,"Kristensen , Tom",oai:nb.bibsys.no:990926879544702202,6188feafd71a914b6fc5590152fc4cf6,,Oslo,20090101,2009,Aschehoug,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Tom,male
93,100378258,URN:NBN:no-nb_digibok_2018091005035,Arven,"Pedersen , Bente",oai:nb.bibsys.no:991223666114702202,f3a5110e75c8dc1f13712e3c409bf9f8,,[Oslo],20120101,2012,Schibsted,nob,,839.823 / 839.82,novel,Skjønnlitteratur,digibok,nb,20060101,Bente,female
96,100119406,URN:NBN:no-nb_digibok_2009051104015,Vinterdans,"Larssen , Trude Brænne",oai:nb.bibsys.no:999728259594702202,1ccd06140f7339d68a8f831ebcafe135,8204052529,[Oslo],19970101,1997,Egmont bøker,nob,,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Trude,female
97,100522946,URN:NBN:no-nb_digibok_2007070904079,Paraply : dikt,"Christensen , Lars Saabye",oai:nb.bibsys.no:998131278664702202,5002621a7ee134abe4045bac9567ed44,8202094763,[Oslo],19820101,1982,Cappelen,nob,, 839.91,fiction,Skjønnlitteratur,digibok,nb,20060101,Lars,male
99,100582384,URN:NBN:no-nb_digibok_2021070548582,Rett i hylla : en antologi,"Andersen, Svein O.",oai:nb.bibsys.no:990929682524702202,f0ee9a2ee64416a4c801d80f201585eb,,[Sellebakk],2009,2009,Hobo forl.,nob,,839.8208,fiction,Skjønnlitteratur,digibok,nb,20060101,"Andersen,",unknown
100,100363154,URN:NBN:no-nb_digibok_2018020548111,Juletid,"Strømsnes , Martine",oai:nb.bibsys.no:991443578364702202,aea14a989b7c6a5e9ffbb3d25e613ca3,,[Oslo],20150101,2015,Cappelen Damm,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Martine,female
101,100437463,URN:NBN:no-nb_digibok_2021020907631,Sorgenfri : en Harry Hole-thriller,"Nesbø , Jo",oai:nb.bibsys.no:999919867265102202,29fb98e61108132c39647daeb385113e,,,20170101,2017,Aschehoug,nob,"Hole, Harry (fiktiv person)",839.823,novel / text,Skjønnlitteratur,digibok,nb,20060101,Jo,andy
102,100462701,URN:NBN:no-nb_digibok_2007081001004,Bronsegutter : fortellinger,"Enger , Rolf",oai:nb.bibsys.no:999109254964702202,d662c8d92e88c67e7310a77c5b55e2c1,8202132614,[Oslo],19910101,1991,Cappelen,nob,skjønnlitteratur/voksen,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Rolf,male
103,100456206,URN:NBN:no-nb_digibok_2008020400135,Albertine,"Krohg , Christian",oai:nb.bibsys.no:999430443674702202,ac26739afdbd76c8f7d0ac5fec83604c,8205225311,Oslo,19940101,1994,Gyldendal,nob,Kunst / Prostitusjon / prostitusjon / fortellinger,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Christian,male
105,100530003,URN:NBN:no-nb_digibok_2008082504015,En uendelig holdbarhet,"Borge , Torunn",oai:nb.bibsys.no:999914866764702202,c555494ac281209f2a5a858ca667456c,8270948721,Oslo,19990101,1999,Oktober,nob,norsk / litteratur / dikt / poesi,839.821,poetry,Skjønnlitteratur,digibok,nb,20060101,Torunn,female
106,100598746,URN:NBN:no-nb_digibok_2021110548067,Lengter knuser slår : roman,"Torgersen, Bård",oai:nb.bibsys.no:999919979991402202,ef1c9289afb4986491737402bbb2332f,,,2019,2019,Oktober,nob,Drabantbyer / Drabantbyar / Outsidere / Outsiderar / Ungdom / Ungdom / Norsk litteratur,839.8238,novel / text,Skjønnlitteratur,digibok,nb,20060101,"Torgersen,",unknown
108,100360935,URN:NBN:no-nb_digibok_2017122008010,Maries nye liv,"Angell-Jacobsen , Rune",oai:nb.bibsys.no:991426813004702202,e0948f9adce800a2fde6ef12781e7385,,Oslo,20140101,2014,Aller forl.,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Rune,male
109,100373651,URN:NBN:no-nb_digibok_2018051448515,Min kamp : roman. Første bok,"Knausgård , Karl Ove",oai:nb.bibsys.no:991444134424702202,7411f8bf445fd19e6cdd8f1cd7182264,,Oslo,20150101,2015,Oktober,nob,,839.823,biography / novel / tekst,Skjønnlitteratur,digibok,nb,20060101,Karl,male
110,100136030,URN:NBN:no-nb_digibok_2013021109085,Strandet i paradis,"Eriksen , Endre Lund",oai:nb.bibsys.no:990008305694702202,b4216fd5d0ab685a20bf7c60c4bacf59,,[Oslo],20000101,2000,"Norsk rikskringkasting, Radioteatret",nob,,839.822,drama,Skjønnlitteratur,digibok,nb,20060101,Endre,male
111,100056014,URN:NBN:no-nb_digibok_2011090908074,En far,"Lunde , Stein Erik",oai:nb.bibsys.no:990713413404702202,929c55731bb0a579eb5b1e73bab1fc3e,,[Oslo],20070101,2007,Gyldendal,nob,far / sønn / døden / selvmord / sorg / etterlatte / pårørende / familiefedre / sønner / sjølvmord,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Stein,male
112,100388086,URN:NBN:no-nb_digibok_2018110677005,Hvit panter,"Wiik , Øystein",oai:nb.bibsys.no:991216096694702202,cee474b44de9a4744586d8aacec4302a,,Oslo,20120101,2012,Aschehoug,nob,norsk / litteratur / krim / norske / romaner / 2010-tallet,839.82 / 839.82 / 839.8238 / 839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Øystein,male
113,100404372,URN:NBN:no-nb_digibok_2020051248101,Fred,"Lunde , Sigrid",oai:nb.bibsys.no:999919976293702202,bd72723ae6f5b71a000d0f928e891006,,,20180101,2018,Cappelen Damm,nob,Jordmødre / Jordmødrer / Kjærlighet / Kjærleik,839.82374,novel / text,Skjønnlitteratur,digibok,nb,20060101,Sigrid,female
114,100095509,URN:NBN:no-nb_digibok_2012073009568,Glass i palass : et stykke for små barn,"Høie , Karen",oai:nb.bibsys.no:990406159364702202,bcdbdb04187fd893a4231876558d817b,,[Hamar],20020101,2002,[Kulturproduksjoner],nob,,839.822,drama,Skjønnlitteratur,digibok,nb,20060101,Karen,female
116,100530252,URN:NBN:no-nb_digibok_2008091600005,Prisverdig! : Kulturdepartementets premiering av barne- og ungdomslitteratur gjennom 50 år,,oai:nb.bibsys.no:999811308364702202,0af7474b8680f4ce8f80ef4cbb34f6da,,[Oslo],19980101,1998,[Statens bibliotektilsyn],nob,Norsk litteratur / Barnelitteratur / Ungdomslitteratur / Prisbelønning / litterære / priser / barne- / ungdomslitteratur / historie,839.8230079,,Faglitteratur,digibok,nb,20060101,,unknown
117,100095522,URN:NBN:no-nb_digibok_2012073009616,Kan den fly?,"Høie , Karen",oai:nb.bibsys.no:990406145224702202,897c36a1e4f59e469097b0420e3bb9cb,,[Hamar],20020101,2002,[Klomadu teater],nob,,839.822,fiction,Skjønnlitteratur,digibok,nb,20060101,Karen,female
118,100409774,URN:NBN:no-nb_digibok_2020070748615,Rastløs : Det åpenbare,"Moe , Kenneth",oai:nb.bibsys.no:999919882699102202,a905b9e571e641261c4ca4c0dff1cee0,,[Stavanger],20170101,2017,Pelikanen,nob,Ensomhet / Einsemd / Litteratur / Litteratur / Narkotika / Narkotika,839.823,novel / text,Skjønnlitteratur,digibok,nb,20060101,Kenneth,male
122,100434018,URN:NBN:no-nb_digibok_2021012907506,Halloween : noveller,"Kjeldset , Tania",oai:nb.bibsys.no:999919872292402202,9e467acdc363fc005f08d6344d1e4639,,[Oslo],20170101,2017,Cappelen Damm,nob,,839.8238,short story / text,Skjønnlitteratur,digibok,nb,20060101,Tania,female
123,100107940,URN:NBN:no-nb_digibok_2007112804044,Tilfeldighetsmorderen og andre fortellinger,"Melli , Aleksander",oai:nb.bibsys.no:999319339784702202,8c3182ef93544d2d244c622e2739a603,8202130840,[Oslo],19930101,1993,Cappelen,nob,,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Aleksander,male
125,100144882,URN:NBN:no-nb_digibok_2013042405038,Lengsel,"Johansen , Elin Brend",oai:nb.bibsys.no:990608643464702202,80e65480958cb65dea069389aa0f1650,8202257972,[Oslo],20060101,2006,Cappelen,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Elin,female
130,100383710,URN:NBN:no-nb_digibok_2018070307024,Natten til Fandens geburtsdag,"Mauser , Max",oai:nb.bibsys.no:991142801004702202,4eb969f1b428e7ee03ccde0ccf4e055d,,Oslo,20110101,2011,Kurér forl.,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Max,male
131,100277523,URN:NBN:no-nb_digibok_2016011906027,Sult,"Hamsun , Knut",oai:nb.bibsys.no:990926586524702202,da0b9c16104c7956395bdf6afa0d300b,,[Oslo],20090101,2009,Gyldendal,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Knut,male
132,100194123,URN:NBN:no-nb_digibok_2014030406054,Dinas bok : roman,"Wassmo , Herbjørg",oai:nb.bibsys.no:990933606574702202,0947c87cb9fc67708df0f03e20c3be9e,,[Oslo],20090101,2009,Gyldendal,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Herbjørg,unknown
135,100081703,URN:NBN:no-nb_digibok_2012061906108,Moldvarpballaden : fjorten kapitler fra krigen om virkeligheten : roman,"Johnsgaard , Magnar",oai:nb.bibsys.no:998730995754702202,4ae7d53d60f6f291be6f971cd3265f94,8202111668,[Oslo],19870101,1987,Cappelen,nob,skjønnlitteratur/voksen,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Magnar,male
136,100582732,URN:NBN:no-nb_digibok_2021120348546,Klaras minibakebok,,oai:nb.bibsys.no:999919933377702202,3e9b71e49866d26106b7f39b82e3df09,,[Bergen],2018,2018,Vigmostad Bjørke,nob,Gårdsbruk / Gardsbruk / Bakverk / Bakverk,839.8238,short story / text,Skjønnlitteratur,digibok,nb,20060101,,unknown
141,100189126,URN:NBN:no-nb_digibok_2014020305048,Nytt håp,"Prøis , Christin Grilstad",oai:nb.bibsys.no:990805982934702202,3b05c026559db049ae30c1c0b40f46ae,,[Oslo],20080101,2008,Damm,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Christin,female
142,100061227,URN:NBN:no-nb_digibok_2011110805008,Frosne hjerter,"Midtsund , Aud",oai:nb.bibsys.no:991120012704702202,50939cecca86c46d18b26d2793994f1f,,[Oslo],20110101,2011,Schibsted,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Aud,female
143,100197790,URN:NBN:no-nb_digibok_2014031706045,Tyven og tyvebarnet,"Vinje , Kari",oai:nb.bibsys.no:991146058314702202,f9033fbab864a13b0a9bcfdc2234f42e,,Oslo,20110101,2011,Luther,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Kari,female
