,new_urns,author,title,year,gender,url,dhlabid
48,URN:NBN:no-nb_digibok_2014031006141,Heidi Linde,"Nu, jävlar",2011,fem,https://urn.nb.no/URN:NBN:no-nb_digibok_2014031006141,100194938
49,URN:NBN:no-nb_digibok_2018061807605,Ida Hegazi Høyer,Fortellingen om øde,2015,fem,https://urn.nb.no/URN:NBN:no-nb_digibok_2018061807605,100382383
50,URN:NBN:no-nb_digibok_2009092212003,Alexander Kielland,Garman og Worse,1880,masc,https://urn.nb.no/URN:NBN:no-nb_digibok_2009092212003,100618870
51,URN:NBN:no-nb_digibok_2014101408206,Jonas Lie,Familien på Gilje,1883,masc,https://urn.nb.no/URN:NBN:no-nb_digibok_2014101408206,100623832
52,URN:NBN:no-nb_digibok_2009041403012,Johan Bojer,Et folketog,1896,masc,https://urn.nb.no/URN:NBN:no-nb_digibok_2009041403012,100637684
53,URN:NBN:no-nb_digibok_2014111908025,Kristian Elster,De unge hjerter,1910,masc,https://urn.nb.no/URN:NBN:no-nb_digibok_2014111908025,100491668
54,URN:NBN:no-nb_digibok_2017050848012,Ronald Fangen,En roman,1918,masc,https://www.nb.no/items/c2cc58a44f4647b8a7ae043090958dcd?page=0&searchText=,100331626
55,URN:NBN:no-nb_digibok_2011051004078,Mikkjel Fønhus,Det skriker fra Kverrvilljuvet,1920,masc,https://urn.nb.no/URN:NBN:no-nb_digibok_2011051004078,100048427
56,URN:NBN:no-nb_digibok_2016060348063,Johan Falkberget,Den fjerde nattevakt,1923,masc,https://www.nb.no/items/53df976b04dec43cac1f752f1acd06a8?page=0&searchText=,100296502
57,URN:NBN:no-nb_digibok_2008091603020,Knut Hamsun,August,1930,masc,https://urn.nb.no/URN:NBN:no-nb_digibok_2008091603020,100506240
58,URN:NBN:no-nb_digibok_2013102905076,Sigurd Hoel,Syndere i sommersol,1931,masc,https://www.nb.no/items/0e10823b086fea144c214a57498c1e67?page=0&searchText=,100177821
59,URN:NBN:no-nb_digibok_2012091708008,Trygve Gulbranssen,Og bakom synger skogene,1933,masc,https://www.nb.no/items/URN:NBN:no-nb_digibok_2012091708008,100109484
60,URN:NBN:no-nb_digibok_2017052907084,Gabriel Scott,De vergeløse,1939,masc,https://www.nb.no/items/09b6ce235618c9eec5753900b5da0dbe?page=0&searchText=,100335129
61,URN:NBN:no-nb_digibok_2008042201017,Kåre Holt,Det store veiskillet,1949,masc,https://urn.nb.no/URN:NBN:no-nb_digibok_2008042201017,100046534
62,URN:NBN:no-nb_digibok_2007020901025,Johan Borgen,Lillelord,1955,masc,https://urn.nb.no/URN:NBN:no-nb_digibok_2007020901025,100568714
63,URN:NBN:no-nb_digibok_2008051500074,Jens Bjørneboe,Jonas,1955,masc,https://urn.nb.no/URN:NBN:no-nb_digibok_2008051500074,100442645
64,URN:NBN:no-nb_digibok_2014060208041,Kjell Askildsen,Davids bror,1957,masc,https://urn.nb.no/URN:NBN:no-nb_digibok_2014060208041,100208418
65,URN:NBN:no-nb_digibok_2015090129001,Agnar Mykle,Sangen om den røde rubin,1956,masc,https://urn.nb.no/URN:NBN:no-nb_digibok_2015090129001,100263007
66,URN:NBN:no-nb_digibok_2008050604059,Aksel Sandemose,Varulven,1958,masc,https://urn.nb.no/URN:NBN:no-nb_digibok_2008050604059,100565132
67,URN:NBN:no-nb_digibok_2007032801115,André Bjerke,Enhjørningen,1963,masc,https://urn.nb.no/URN:NBN:no-nb_digibok_2007032801115,100509526
68,URN:NBN:no-nb_digibok_2011051020020,Dag Solstad,Irr! Grønt!,1969,masc,https://urn.nb.no/URN:NBN:no-nb_digibok_2011051020020,100499358
69,URN:NBN:no-nb_digibok_2011011106048,Finn Alnæs,Festningen faller,1971,masc,https://urn.nb.no/URN:NBN:no-nb_digibok_2011011106048,100032621
70,URN:NBN:no-nb_digibok_2008111404112,Knut Faldbakken,Uår. Aftenlandet og Sweetwater,1974,masc,https://urn.nb.no/URN:NBN:no-nb_digibok_2008111404112,100476508
71,URN:NBN:no-nb_digibok_2012100106229,Øystein Lønn,"Hirtshals, Hirtshals",1975,masc,https://urn.nb.no/URN:NBN:no-nb_digibok_2012100106229,100112452
72,URN:NBN:no-nb_digibok_2013061408139,Gunnar Staalesen,Mannen som hatet julenisser,1976,masc,https://urn.nb.no/URN:NBN:no-nb_digibok_2013061408139,100149867
